text,tweet_text,lemma_tweet_text
"There are ways to arrest someone without using a CHOKEHOLD!! What’s happening in this video from Bellevue, WA (near Seattle) continues to happen in countless cities across America. It’s tragic and needs to STOP. Police brutality is a choice, plain and simple. #blacklivesmatter ","['there', 'are', 'ways', 'to', 'arrest', 'someone', 'without', 'using', 'a', 'chokehold', 'what', 'is', 'happening', 'in', 'this', 'video', 'from', 'bellevue', 'wa', 'near', 'seattle', 'continues', 'to', 'happen', 'in', 'countless', 'cities', 'across', 'america', 'it', ""'s"", 'tragic', 'and', 'needs', 'to', 'stop', 'police', 'brutality', 'is', 'a', 'choice', 'plain', 'and', 'simple', '#blacklivesmatter']","['there', 'be', 'way', ""to'"", 'arrest', 'someone', 'without', 'use', 'a', 'chokehold', 'what', 'be', 'happen', 'in', 'this', 'video', 'from', 'bellevue', ""wa'"", 'near', 'seattle', 'continue', ""to'"", 'happen', 'in', 'countless', 'city', 'across', 'america', 'it', ""'s"", 'tragic', 'and', 'need', ""to'"", 'stop', 'police', 'brutality', 'be', ""a'"", 'choice', 'plain', 'and', 'simple', '#blacklivesmatter']"
"Today, on #JUNETEENTH2020 a Fat Black Trans Woman Looks over NEW YORK !!! #BlackTransLivesMatter #BlackLivesMatter #ProudinMyCalvins @CalvinKlein","['today', 'on', 'juneteenth2020', 'a', 'fat', 'black', 'trans', 'woman', 'looks', 'over', 'new', 'york', 'blacktranslivesmatter', 'blacklives', 'matter', 'proudin', 'mycalvins', '@', 'calvinklein']","['today', 'on', 'juneteenth', '2020', 'a', 'fat', 'black', 'trans', 'woman', 'look', 'over', 'new', 'york', 'blacktranslivesmatter', 'blacklive', 'matter', 'proudin', 'mycalvin', '@', 'calvinklein']"
Independent medical examiners determined #GeorgeFloyd’s death was due to asphyxia from sustained forceful pressure. Full statement: ,"['independent', 'medical', 'examiners', 'determined', 'georgefloyd', 'is', 'death', 'was', 'due', 'to', 'asphyxia', 'from', 'sustained', 'forceful', 'pressure', 'full', 'statement']","['independent', 'medical', 'examiner', 'determine', 'georgefloyd', 'be', 'death', 'be', 'due', ""to'"", 'asphyxia', 'from', 'sustain', 'forceful', 'pressure', 'full', 'statement']"
Y’all matter to us #BlackLivesMatter ,"['you', 'all', 'matter', 'to', 'us', 'blacklives', 'matter']","['you', 'all', 'matter', ""to'"", 'we', 'blacklive', 'matter']"
Sarah Grossman DIED after getting teargassed at a Columbus #BlackLivesMatter protest fighting for justice. ANOTHER LIFE lost at the hands of police brutality… Enough is enough! #SarahGrossman https://www.thelantern.com/2020/06/columbus-looks-into-death-of-ohio-state-grad-who-attended-downtown-protests/,"['sarah', 'grossman', 'died', 'after', 'getting', 'teargassed', 'at', 'a', 'columbus', 'blacklives', 'matter', 'protest', 'fighting', 'for', 'justice', 'another', 'life', 'lost', 'at', 'the', 'hands', 'of', 'police', 'brutality', 'enough', 'is', 'enough', 'sarahgrossman']","[""'sarah"", 'grossman', 'die', 'after', 'get', 'teargass', 'at', ""a'"", 'columbus', 'blacklive', 'matter', 'protest', 'fighting', 'for', 'justice', 'another', 'life', 'lose', 'at', ""the'"", 'hand', 'of', 'police', 'brutality', 'enough', 'be', 'enough', 'sarahgrossman']"
A few scenes from the aftermath here in Minneapolis. #GeorgeFloyd #minneapolisriots,"['a', 'few', 'scenes', 'from', 'the', 'aftermath', 'here', 'in', 'minneapolis', 'george', 'floyd', '#minneapolisriots']","[""'a"", 'few', 'scene', 'from', ""the'"", 'aftermath', 'here', 'in', 'minneapolis', 'george', 'floyd', '#minneapolisriot']"
"The Market House in downtown Fayetteville is on fire. Protestors have shattered the windows and are chanting,”Black Lives Matter.” – at Market House","['the', 'market', 'house', 'in', 'downtown', 'fayetteville', 'is', 'on', 'fire', 'protestors', 'have', 'shattered', 'the', 'windows', 'and', 'are', 'chanting', 'black', 'lives', 'matter', 'at', 'market', 'house']","[""the'"", 'market', 'house', 'in', 'downtown', 'fayetteville', 'be', 'on', 'fire', 'protestor', 'have', 'shattered', ""the'"", 'window', 'and', 'be', 'chant', 'black', 'life', 'matter', 'at', 'market', 'house']"
"I made a little series of #BLM headers to help show support, Please feel free to use them and share them, Black Lives Matter! ","['i', 'made', 'a', 'little', 'series', 'of', 'blm', 'headers', 'to', 'help', 'show', 'support', 'please', 'feel', 'free', 'to', 'use', 'them', 'and', 'share', 'them', 'black', 'lives', 'matter']","[""'i"", 'make', 'a', 'little', 'series', 'of', 'blm', 'header', ""to'"", 'help', 'show', 'support', 'please', 'feel', 'free', ""to'"", 'use', 'they', 'and', 'share', 'they', 'black', 'life', 'matter']"
The president just retweeted a post attacking the character of George Floyd ,"['the', 'president', 'just', 'retweeted', 'a', 'post', 'attacking', 'the', 'character', 'of', 'george', 'floyd']","[""the'"", 'president', 'just', 'retweet', 'a', 'post', 'attack', ""the'"", 'character', 'of', 'george', 'floyd']"
BREAKING. Some protesters have jumped the gated barrier at Lafayette Park. US Park Police push them back. The White House is behind the US Park Police l & the Secret Service. @MSNBC @nbcwashington #GeorgeFloyd – at The White House,"['breaking', 'some', 'protesters', 'have', 'jumped', 'the', 'gated', 'barrier', 'at', 'lafayette', 'park', 'us', 'park', 'police', 'push', 'them', 'back', 'the', 'white', 'house', 'is', 'behind', 'the', 'us', 'park', 'police', 'l', '&', 'the', 'secret', 'service', '@msnbc', '@nbcwashington', 'georgefloyd', 'at', 'the', 'white', 'house']","['breaking', 'some', 'protester', 'have', 'jump', ""the'"", 'gated', 'barrier', 'at', 'lafayette', 'park', 'we', 'park', 'police', 'push', 'they', 'back', ""the'"", 'white', 'house', 'be', 'behind', ""the'"", 'we', 'park', 'police', 'l', '&', 'the', 'secret', 'service', ""@msnbc'"", '@nbcwashington', 'georgefloyd', 'at', ""the'"", 'white', 'house']"
